,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
85,Run,0.447,0.72,7,-3.954,1,0.0332,0.0416,0.000297,0.614,0.362,157.892,audio_features,6p8eEdiZLKJH8tcjGZuNTK,spotify:track:6p8eEdiZLKJH8tcjGZuNTK,https://api.spotify.com/v1/tracks/6p8eEdiZLKJH8tcjGZuNTK,https://api.spotify.com/v1/audio-analysis/6p8eEdiZLKJH8tcjGZuNTK,195000,3
86,Mood,0.736,0.468,4,-7.035,1,0.0294,0.53,0.00184,0.094,0.642,97.484,audio_features,21PaOSZdsh7DToHW6d5B38,spotify:track:21PaOSZdsh7DToHW6d5B38,https://api.spotify.com/v1/tracks/21PaOSZdsh7DToHW6d5B38,https://api.spotify.com/v1/audio-analysis/21PaOSZdsh7DToHW6d5B38,148360,3
87,WHAT TO DO? (feat. Don Toliver),0.643,0.594,9,-5.191,0,0.0312,0.0695,1.46e-05,0.115,0.195,118.037,audio_features,4AO1XhrgJczQ9bNVxdfKQe,spotify:track:4AO1XhrgJczQ9bNVxdfKQe,https://api.spotify.com/v1/tracks/4AO1XhrgJczQ9bNVxdfKQe,https://api.spotify.com/v1/audio-analysis/4AO1XhrgJczQ9bNVxdfKQe,250142,4
88,Down the Line,0.603,0.743,7,-6.569,1,0.0395,0.24,0.00392,0.147,0.533,162.265,audio_features,1KPDAA9zyJXcEDvFW5inYi,spotify:track:1KPDAA9zyJXcEDvFW5inYi,https://api.spotify.com/v1/tracks/1KPDAA9zyJXcEDvFW5inYi,https://api.spotify.com/v1/audio-analysis/1KPDAA9zyJXcEDvFW5inYi,158474,4
89,In Your Room,0.187,0.945,11,-6.332,1,0.0398,0.000256,0.241,0.104,0.461,104.974,audio_features,7l5XWtUfIclO2xCTFvts8V,spotify:track:7l5XWtUfIclO2xCTFvts8V,https://api.spotify.com/v1/tracks/7l5XWtUfIclO2xCTFvts8V,https://api.spotify.com/v1/audio-analysis/7l5XWtUfIclO2xCTFvts8V,566467,4
90,Standing On The Corner Of The Third World,0.292,0.406,9,-11.618,0,0.0314,0.226,0.379,0.567,0.118,105.25,audio_features,1mtlUkudD0yTB1lZGKwkao,spotify:track:1mtlUkudD0yTB1lZGKwkao,https://api.spotify.com/v1/tracks/1mtlUkudD0yTB1lZGKwkao,https://api.spotify.com/v1/audio-analysis/1mtlUkudD0yTB1lZGKwkao,330533,3
91,Starting Over,0.225,0.511,4,-9.316,1,0.0339,0.506,0.918,0.108,0.117,114.255,audio_features,0dcu28YT8cXZH7JTIraszp,spotify:track:0dcu28YT8cXZH7JTIraszp,https://api.spotify.com/v1/tracks/0dcu28YT8cXZH7JTIraszp,https://api.spotify.com/v1/audio-analysis/0dcu28YT8cXZH7JTIraszp,304240,4
92,Serpentskirt,0.451,0.583,4,-6.481,0,0.0244,0.595,2.99e-05,0.195,0.582,77.945,audio_features,5D8SzvASRr7V7ZrrXsh6SY,spotify:track:5D8SzvASRr7V7ZrrXsh6SY,https://api.spotify.com/v1/tracks/5D8SzvASRr7V7ZrrXsh6SY,https://api.spotify.com/v1/audio-analysis/5D8SzvASRr7V7ZrrXsh6SY,237600,4
93,Hounds Of Love,0.546,0.748,5,-13.989,1,0.0384,0.505,0.0,0.16,0.9,145.582,audio_features,0iluWxTpC9QOdVPg3PROvm,spotify:track:0iluWxTpC9QOdVPg3PROvm,https://api.spotify.com/v1/tracks/0iluWxTpC9QOdVPg3PROvm,https://api.spotify.com/v1/audio-analysis/0iluWxTpC9QOdVPg3PROvm,183267,4
94,Hunnybee,0.956,0.373,6,-7.963,1,0.0773,0.569,0.394,0.314,0.568,119.994,audio_features,3DPFmwFtV5ElQaTniLOdgk,spotify:track:3DPFmwFtV5ElQaTniLOdgk,https://api.spotify.com/v1/tracks/3DPFmwFtV5ElQaTniLOdgk,https://api.spotify.com/v1/audio-analysis/3DPFmwFtV5ElQaTniLOdgk,268333,4
95,Alison,0.276,0.449,4,-11.428,1,0.0375,0.00782,0.783,0.108,0.278,101.687,audio_features,33HRECrmuelZxOpid6XTNX,spotify:track:33HRECrmuelZxOpid6XTNX,https://api.spotify.com/v1/tracks/33HRECrmuelZxOpid6XTNX,https://api.spotify.com/v1/audio-analysis/33HRECrmuelZxOpid6XTNX,230987,4
96,Iron Lung,0.567,0.752,4,-9.928,1,0.0405,0.68,0.792,0.0865,0.508,87.496,audio_features,1uy9Y3i3W7mjs9doJhymsI,spotify:track:1uy9Y3i3W7mjs9doJhymsI,https://api.spotify.com/v1/tracks/1uy9Y3i3W7mjs9doJhymsI,https://api.spotify.com/v1/audio-analysis/1uy9Y3i3W7mjs9doJhymsI,237838,4
97,Running Up That Hill (A Deal With God),0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,75FEaRjZTKLhTrFGsfMUXR,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4
98,Borderline,0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,audio_features,5hM5arv9KDbCHS0k9uqwjr,spotify:track:5hM5arv9KDbCHS0k9uqwjr,https://api.spotify.com/v1/tracks/5hM5arv9KDbCHS0k9uqwjr,https://api.spotify.com/v1/audio-analysis/5hM5arv9KDbCHS0k9uqwjr,237800,4
99,Changes,0.716,0.697,7,-8.409,1,0.0259,0.00846,0.144,0.229,0.85,111.999,audio_features,1arEFIGFihaStHQSBQAyVL,spotify:track:1arEFIGFihaStHQSBQAyVL,https://api.spotify.com/v1/tracks/1arEFIGFihaStHQSBQAyVL,https://api.spotify.com/v1/audio-analysis/1arEFIGFihaStHQSBQAyVL,246464,4
