,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
26,Don't Ask,0.657,0.504,2,-8.717,1,0.0315,0.717,0.0,0.166,0.842,132.013,audio_features,5EGWmEMe2rslOGyMyHeqNQ,spotify:track:5EGWmEMe2rslOGyMyHeqNQ,https://api.spotify.com/v1/tracks/5EGWmEMe2rslOGyMyHeqNQ,https://api.spotify.com/v1/audio-analysis/5EGWmEMe2rslOGyMyHeqNQ,140001,4
27,Blue Sky,0.491,0.47,4,-13.45,1,0.0264,0.747,0.747,0.128,0.846,93.964,audio_features,6iX1QW1gGIVNEItnqyvFfH,spotify:track:6iX1QW1gGIVNEItnqyvFfH,https://api.spotify.com/v1/tracks/6iX1QW1gGIVNEItnqyvFfH,https://api.spotify.com/v1/audio-analysis/6iX1QW1gGIVNEItnqyvFfH,311704,4
28,Innocent of All Things,0.735,0.457,4,-9.023,1,0.0468,0.781,2.28e-05,0.113,0.697,129.953,audio_features,1kcSawt3bslj9ajicENB23,spotify:track:1kcSawt3bslj9ajicENB23,https://api.spotify.com/v1/tracks/1kcSawt3bslj9ajicENB23,https://api.spotify.com/v1/audio-analysis/1kcSawt3bslj9ajicENB23,129133,4
29,No Nightmares,0.418,0.469,0,-9.796,1,0.0336,0.16,0.273,0.26,0.0981,149.955,audio_features,09lzbPVfBU99ITkfQoizj0,spotify:track:09lzbPVfBU99ITkfQoizj0,https://api.spotify.com/v1/tracks/09lzbPVfBU99ITkfQoizj0,https://api.spotify.com/v1/audio-analysis/09lzbPVfBU99ITkfQoizj0,246371,4
30,Time,0.688,0.816,10,-5.722,0,0.0973,0.0161,0.399,0.209,0.767,80.97,audio_features,3CaRo5FhGdAIjUhUM006ES,spotify:track:3CaRo5FhGdAIjUhUM006ES,https://api.spotify.com/v1/tracks/3CaRo5FhGdAIjUhUM006ES,https://api.spotify.com/v1/audio-analysis/3CaRo5FhGdAIjUhUM006ES,121541,4
31,Outta My Head,0.407,0.21,4,-16.196,1,0.0864,0.885,0.00221,0.12,0.626,171.638,audio_features,0Mdrf9ZHtZco3f8TgLfgc2,spotify:track:0Mdrf9ZHtZco3f8TgLfgc2,https://api.spotify.com/v1/tracks/0Mdrf9ZHtZco3f8TgLfgc2,https://api.spotify.com/v1/audio-analysis/0Mdrf9ZHtZco3f8TgLfgc2,171427,4
32,Wings in Motion,0.498,0.233,0,-12.764,1,0.0323,0.749,1.89e-05,0.107,0.599,138.221,audio_features,1lRNWdVAbmUk0X0xlBQvKS,spotify:track:1lRNWdVAbmUk0X0xlBQvKS,https://api.spotify.com/v1/tracks/1lRNWdVAbmUk0X0xlBQvKS,https://api.spotify.com/v1/audio-analysis/1lRNWdVAbmUk0X0xlBQvKS,144200,4
33,Make It Forever,0.407,0.924,5,-5.543,1,0.0788,0.0208,0.0605,0.208,0.218,168.038,audio_features,4Kh8w1MgC7LYHSbSX2lDzP,spotify:track:4Kh8w1MgC7LYHSbSX2lDzP,https://api.spotify.com/v1/tracks/4Kh8w1MgC7LYHSbSX2lDzP,https://api.spotify.com/v1/audio-analysis/4Kh8w1MgC7LYHSbSX2lDzP,211547,4
34,Security!,0.667,0.511,10,-7.949,1,0.038,0.823,1.84e-05,0.103,0.681,100.0,audio_features,4XJlKNehaCUUeviadnz1Fg,spotify:track:4XJlKNehaCUUeviadnz1Fg,https://api.spotify.com/v1/tracks/4XJlKNehaCUUeviadnz1Fg,https://api.spotify.com/v1/audio-analysis/4XJlKNehaCUUeviadnz1Fg,155459,4
35,My Agenda,0.332,0.666,1,-10.342,1,0.265,0.138,0.00319,0.404,0.509,140.362,audio_features,2Mn4qhjgUdjHrd6NELhdpX,spotify:track:2Mn4qhjgUdjHrd6NELhdpX,https://api.spotify.com/v1/tracks/2Mn4qhjgUdjHrd6NELhdpX,https://api.spotify.com/v1/audio-analysis/2Mn4qhjgUdjHrd6NELhdpX,128987,3
36,Oh Well,0.724,0.426,7,-8.43,1,0.0816,0.529,0.00364,0.143,0.371,148.014,audio_features,41VDpEPnPgmS62pQOwI8Vt,spotify:track:41VDpEPnPgmS62pQOwI8Vt,https://api.spotify.com/v1/tracks/41VDpEPnPgmS62pQOwI8Vt,https://api.spotify.com/v1/audio-analysis/41VDpEPnPgmS62pQOwI8Vt,147867,4
